power_ratio,irradiance,ambient_temp,pmax_ratio,module_temp,rh
0.872801,960.341797,40.432873,0.981303,39.269230,88.099998
0.854998,1047.014282,41.952538,0.918019,48.594521,91.000000
0.846054,1023.418823,40.657196,0.901513,41.602249,90.099998
0.861676,1046.060791,40.948608,0.902669,42.728951,84.199997
0.877142,1083.767578,41.591438,0.904495,47.253220,79.500000
0.788213,921.742371,36.340340,0.911364,36.183022,85.300003
0.336912,371.888855,31.065315,0.927293,26.337708,82.099998
0.875290,1063.004639,37.517990,0.911908,45.178352,69.900002
0.856501,1045.539917,38.516663,0.906870,45.085403,76.599998
0.880126,1074.891968,41.181732,0.904526,44.599518,84.000000
0.817918,995.880310,43.123756,0.900142,42.770668,86.199997
0.827810,1011.039185,43.280289,0.912753,46.685150,85.199997
0.827623,1002.029175,41.948490,0.902040,41.947090,78.900002
0.907782,1130.025146,43.171444,0.890790,45.467823,74.300003
0.848119,1074.601196,44.680599,0.898049,51.316059,81.500000
0.887989,1107.038574,41.006466,0.894008,46.635429,78.900002
0.848987,1064.834229,42.502365,0.885093,45.726097,71.900002
0.796998,982.349243,40.804840,0.898656,45.214127,72.500000
0.824218,1019.605225,43.535114,0.900516,46.521400,85.300003
0.783181,993.259827,42.027107,0.887526,48.876865,87.199997
0.824329,1035.729370,43.389870,0.896850,49.129322,90.199997
0.807296,1028.952148,45.317585,0.877998,47.558693,85.500000
0.498731,583.192627,39.398293,0.911861,36.308723,86.000000
0.612080,752.859497,39.315296,0.872190,37.748772,84.900002
0.883555,1102.817261,41.273140,0.896505,47.541405,84.300003
0.782262,984.293396,45.156929,0.885387,46.535065,83.199997
0.695701,844.665894,39.362091,0.888223,38.980309,84.400002
0.888612,1055.617065,32.546844,0.904389,38.094040,54.000000
0.902757,1067.794189,31.142788,0.902493,36.567986,50.200001
0.857989,1064.109985,37.595577,0.891730,44.862518,56.599998
0.841155,1048.922485,41.158302,0.885719,44.557678,69.500000
0.876139,1085.634277,42.033882,0.894651,45.405754,74.199997
0.751645,920.843445,43.212444,0.899091,43.927605,77.599998
0.844435,1053.896606,43.654171,0.892654,46.539970,79.300003
0.862062,1101.055542,44.379822,0.883986,49.571411,73.599998
0.578260,694.799438,39.907070,0.887398,36.297020,80.599998
0.835611,1047.435913,46.206779,0.887700,46.263504,84.099998
0.831495,1025.196777,44.426086,0.901141,45.920757,80.300003
0.842095,1051.988403,45.286507,0.896278,47.682091,78.500000
0.859265,1070.342407,44.766808,0.891857,45.895203,73.599998
0.840610,1047.000122,45.861259,0.889242,45.198032,76.000000
0.798193,1004.762939,47.064262,0.888842,47.519264,79.300003
0.850522,1056.232422,45.831520,0.894556,45.890144,86.800003
0.873739,1079.510010,45.047798,0.893972,44.560921,85.300003
0.836196,1044.183105,45.576218,0.894529,47.142822,81.599998
0.836093,1048.668457,48.132469,0.897107,48.797928,77.599998
0.784567,972.430786,47.621223,0.907247,48.654747,86.800003
0.766025,981.708740,48.534576,0.871361,47.077408,87.500000
0.810563,1018.765625,47.038792,0.899430,49.850800,84.099998
0.814239,1019.513916,48.394562,0.903906,50.115082,84.599998
0.595405,714.116455,43.613934,0.910693,41.978539,82.599998
0.833068,1050.716064,47.311195,0.897025,50.034561,81.300003
0.833173,1013.642334,42.243439,0.915993,46.606659,73.800003
0.709403,876.826660,42.527424,0.887645,43.012711,75.500000
0.808773,983.075195,42.066116,0.910702,45.073639,81.400002
0.736098,911.065674,47.666004,0.905902,47.998344,76.099998
0.727718,891.186218,46.805664,0.909598,46.508575,75.699997
0.452719,518.937012,43.224823,0.939321,38.611946,79.400002
0.544239,629.685791,44.186653,0.928981,38.197029,82.199997
0.756940,942.951416,47.040054,0.903723,48.920128,80.400002
